Order_ID,Customer_ID,Customer_Name,Gender,Age,City,Product_Category,Quantity,Unit_Price,Order_Date,Payment_Method,Email,Discount,Rating,Total_Sales
ORD100000,CUST10915,Felicia Mason,Male,65.0,Jakarta,Books,2,29.89,2025-12-23,Cash,thomas45@example.org,0.08,1.3,55.0
ORD100001,CUST10953,Alicia Jones,Male,53.0,Surabaya,Books,7,36.62,2025-01-03,Cash,jessica20@example.org,0.03,2.7,248.65
ORD100002,CUST10027,Todd Aguilar,Male,62.0,Medan,Home,8,591.32,2024-11-29,Bank Transfer,tonyasanders@example.net,0.24,1.6,3595.23
ORD100003,CUST11471,Sherry Chandler,Female,56.0,Bandung,Toys,6,106.7,2025-08-03,Credit Card,egilbert@example.com,0.11,3.9,569.78
ORD100004,CUST10323,Steve Larson,Female,58.0,Denpasar,Toys,9,129.2,2024-06-29,Bank Transfer,hmoore@example.com,0.28,3.3,837.22
ORD100005,CUST11186,Nathan Nelson,Male,32.0,Yogyakarta,Electronics,2,50.6,2025-01-31,E-Wallet,sdavis@example.org,0.07,2.1,94.12
ORD100006,CUST12746,Anna Martinez,Female,62.0,Makassar,Books,6,166.84,2024-12-22,Credit Card,markgutierrez@example.com,0.11,3.4,890.93
ORD100007,CUST11894,Emily Smith,Female,35.0,Makassar,Books,3,536.47,2025-07-25,Cash,barbararuiz@example.org,0.07,1.9,1496.75
ORD100008,CUST10939,Angela Lee,Male,69.0,Bandung,Beauty,6,843.64,2026-01-23,Bank Transfer,samanthabarton@example.com,0.23,1.3,3897.62
ORD100009,CUST12685,Steven Horton,Female,43.0,Makassar,Beauty,10,876.99,2025-03-22,Debit Card,cory07@example.org,0.09,2.1,7980.61
ORD100010,CUST12395,Daniel Burton,Female,55.0,Medan,Home,4,746.26,2025-06-02,Debit Card,davislucas@example.com,0.16,5.0,2507.43
ORD100011,CUST10193,Natalie Alexander,Male,27.0,Makassar,Fashion,3,511.98,2025-04-29,E-Wallet,jonathanhale@example.org,0.03,3.4,1489.86
ORD100012,CUST12168,Cody Alexander,Female,53.0,Yogyakarta,Electronics,7,384.71,2026-01-22,Credit Card,ashleydavidson@example.com,0.3,3.7,1885.08
ORD100013,CUST11394,John Frank,Male,36.0,Medan,Fashion,9,752.12,2025-07-03,E-Wallet,brewerkelly@example.org,0.23,1.0,5212.19
ORD100014,CUST12080,Christopher Livingston,Male,58.0,Bandung,Toys,5,972.03,2026-03-23,Cash,danielcarrillo@example.org,0.23,3.4,3742.32
ORD100015,CUST12173,Brittany Duncan,Male,56.0,Bandung,Beauty,3,377.04,2024-09-14,Credit Card,mendozadavid@example.org,0.05,1.4,1074.56
ORD100016,CUST11260,Jacob Thompson,Male,21.0,Surabaya,Sports,6,879.33,2025-01-16,Credit Card,ubecker@example.com,0.25,1.3,3956.99
ORD100017,CUST12182,Bill Krueger,Male,26.0,Makassar,Beauty,8,816.94,2024-12-30,Cash,joseph79@example.com,0.29,1.7,4640.22
ORD100018,CUST10868,Alyssa Smith,Male,63.0,Bandung,Beauty,9,873.07,2024-06-13,Bank Transfer,allenandrew@example.net,0.13,2.8,6836.14
ORD100019,CUST10263,Patrick Martinez,Female,19.0,Denpasar,Sports,9,454.23,2025-06-13,Debit Card,kathymurphy@example.org,0.07,3.4,3801.91
ORD100020,CUST10938,Steven Hardy,Male,20.0,Yogyakarta,Home,1,75.64,2026-06-10,Credit Card,pmorris@example.com,0.19,3.1,61.27
ORD100021,CUST10542,Michael Bryant,Female,33.0,Yogyakarta,Beauty,5,670.63,2025-12-15,E-Wallet,roger22@example.net,0.06,1.8,3151.96
ORD100022,CUST11684,Robert Santana,Female,64.0,Jakarta,Books,2,660.69,2024-10-08,Credit Card,michaeljohnson@example.com,0.11,1.2,1176.03
ORD100023,CUST10785,Unknown,Male,52.0,Medan,Fashion,6,801.59,2025-10-20,E-Wallet,alexanderharper@example.net,0.03,1.7,4665.25
ORD100024,CUST11816,Heather Whitney,Male,21.0,Makassar,Sports,8,253.56,2024-10-13,Credit Card,lewiskaren@example.org,0.28,4.9,1460.51
ORD100025,CUST10876,Autumn Day,Female,21.0,Surabaya,Beauty,4,170.48,2025-09-08,Credit Card,vmcdowell@example.com,0.15,3.0,579.63
ORD100026,CUST11169,Lisa Morgan,Female,62.0,Makassar,Toys,5,926.89,2025-09-21,Cash,qmartin@example.org,0.24,3.6,3522.18
ORD100027,CUST10240,Selena Patrick,Male,65.0,Bandung,Electronics,8,159.02,2026-04-19,Credit Card,zachary14@example.org,0.09,3.3,1157.67
ORD100028,CUST10233,Amy Smith,Male,29.0,Jakarta,Sports,9,919.79,2026-01-06,Credit Card,kellymurray@example.com,0.16,3.7,6953.61
ORD100029,CUST12334,Unknown,Male,55.0,Denpasar,Electronics,4,406.76,2026-05-28,Cash,osantiago@example.org,0.28,1.3,1171.47
ORD100030,CUST11069,Kimberly Werner,Male,60.0,Makassar,Home,10,567.4,2026-06-04,Debit Card,sheilamcintyre@example.com,0.09,2.1,5163.34
